""
Smilacaceae
Ephedra
Cystopteris
Pulmonaria saccharata
Thuja
Coronilla valentina
Lepidium draba
Cornales
Primula vulgaris
Geranium pyrenaicum
Typha domingensis
Trocdaris
Ammophila arenaria
Lythrum hyssopifolia
Solanum laciniatum
Ononis spinosa
Ligustrum
Crepis setosa
Inula montana
Epilobium parviflorum
Prunus cerasifera
Potamogeton polygonifolius
Chaenomeles
Taraxacum
Phaseolus vulgaris
Pennisetum
Cervaria
Malvaceae
Arbutus unedo
Viola riviniana
Aethusa
Anemone hupehensis
Veratrum lobelianum
Ribes rubrum
Celastraceae
Cynara cardunculus
Romulea
Cerastium pumilum
Geum sylvaticum
Galanthus nivalis
Bupleurum falcatum
Lepidium coronopus
Trifolium angustifolium
Serapias olbia
Reynoutria
Myrtales
Argentina anserina
Convolvulus lanuginosus
Orchis anthropophora
Carex canescens
Campanula erinus
Phytolacca
Tristagma uniflorum
Hypericum coris
Equisetales
Cytisus scoparius
Eucalyptus gunnii
Vicia melanops
Anethum graveolens
Amaranthus blitum
Gagea villosa
Euphorbia serrata
Fumaria parviflora
Aruncus dioicus
Wahlenbergia
Coreopsis grandiflora
Anthyllis montana
Teucrium montanum
Crocus corsicus
Pachypleurum
Orchis militaris
Asparagus
Aetheorhiza
Linum catharticum
Paronychia
Amelanchier
Eleusine
Pinus pinaster
Bellevalia
Anthemis cretica
Ceratophyllales
Celtis australis
Koelreuteria
Gymnocarpium dryopteris
Chrysosplenium alternifolium
Ipomoea purpurea
Trifolium nigrescens
Nicandra physalodes
Buxus
Oxyria
Orchis olbiensis
Argyrolobium zanonii
Silene gallica
Euphrasia nemorosa
Noccaea caerulescens
Campanulaceae
Ruscus
Veronica acinifolia
Urospermum
Hordelymus europaeus
Dioscorea
Ligustrum japonicum
Lamiales
Catapodium marinum
Tagetes
Draba verna
Anthericum ramosum
Viola alba
Cochlearia danica
Ophrys lutea
Sedum atratum
Cirsium rivulare
Thelypteridaceae
Limbarda
Artemisia vulgaris
Astragalus cicer
Salix serpyllifolia
Berberis vulgaris
Thelypteris palustris
Anthemis maritima
Pulicaria vulgaris
Cladanthus
Viola tricolor
Lathyrus clymenum
Lotus angustissimus
Epilobium palustre
Chenopodium vulvaria
Valeriana sambucifolia
Astragalus depressus
Oxalidales
Prunella laciniata
Pedicularis sylvatica
Eryngium maritimum
Adiantum capillus-veneris
Scleranthus
Rosa villosa
Cystopteris fragilis
Holosteum umbellatum
Hibiscus syriacus
Trifolium incarnatum
Thinopyrum junceiforme
Consolida regalis
Sisyrinchium montanum
Phacelia
Carex demissa
Lycopus europaeus
Allium moschatum
Eschscholzia californica
Centaurea aspera
Orchis simia
Lavandula stoechas
Rhamnus saxatilis
Camelina microcarpa
Isopyrum
Eriophorum scheuchzeri
Amaranthus albus
Polycnemum majus
Sarcocornia
Himantoglossum hircinum
Lotus conimbricensis
Ginkgoales
Urtica pilulifera
Magnoliaceae
Ophrys virescens
Thymus serpyllum
Centranthus angustifolius
Lathyrus palustris
Datura
Acacia dealbata
Cervaria rivini
Galeopsis segetum
Barbarea
Ranunculus pyrenaeus
Lasiospora hirsuta
Carex foetida
Achillea atrata
Tilia tomentosa
Aconitum anthora
Anthyllis barba-jovis
Lathyrus annuus
Crataegus
Morus nigra
Sempervivum arachnoideum
Crassula
Brassica repanda
Adenocarpus
Limonium cordatum
Calicotome villosa
Maclura
Trisetum distichophyllum
Anacamptis palustris
Consolida
Senecio ovatus
Matricaria chamomilla
Phedimus
Alcea rosea
Pulsatilla alpina
Allium triquetrum
Helianthemum hirtum
Spergularia rubra
Adoxa moschatellina
Orobanchaceae
Muscari neglectum
Rosa micrantha
Deschampsia media
Polygonum arenastrum
Dianthus scaber
Veronica chamaedrys
Epipactis palustris
Limonium narbonense
Helianthemum oelandicum
Calamagrostis arundinacea
Carduus carlinoides
Narcissus poeticus
Carex filiformis
Sorghum
Moehringia trinervia
Helleborus foetidus
Ficaria verna
Arabis ciliata
Heracleum mantegazzianum
Alchemilla
Potentilla recta
Senecio gallicus
Dracocephalum
Androsace carnea
Anemone
Lycopodiella
Filipendula vulgaris
Allium victorialis
Saxifraga callosa
Moneses
Ranunculus hederaceus
Chaenorhinum
Hypericum pulchrum
Nicotiana glauca
Verbascum thapsus
Lycopodiaceae
Andromeda polifolia
Oxalis latifolia
Biscutella mediterranea
Pyracantha coccinea
Parietaria
Cynoglossum officinale
Ribes petraeum
Romulea columnae
Lycium barbarum
Galium pusillum
Cherleria
Lathraea
Sedum annuum
Ostrya carpinifolia
Sparganium erectum
Lycopus
Carex frigida
Butomus umbellatus
Santolina villosa
Leucanthemum vulgare
Sedum villosum
Koeleria
Cardamine impatiens
Vitaceae
Magnolia grandiflora
Althaea
Phalaris coerulescens
Coriandrum
Liparis loeselii
Pinus halepensis
Cressa
Dianthus furcatus
Aconitum napellus
Brassica napus
Salix aurita
Hippophae
Kickxia
Melampyrum nemorosum
Anacyclus clavatus
Saxifraga longifolia
Nasturtium
Xeranthemum
Falcaria
Thesium linophyllon
Galatella linosyris
Picnomon
Scutellaria
Nymphaea
Spergularia
Microthlaspi
Descurainia sophia
Jasione crispa
Hieracium sabaudum
Moenchia erecta
Fabales
Bolboschoenus maritimus
Clinopodium menthifolium
Tuberaria lignosa
Sinapis arvensis
Traunsteinera globosa
Saxifraga florulenta
Sequoiadendron
Rubus idaeus
Carex remota
Viola roccabrunensis
Ocimum basilicum
Plantago media
Allium vineale
Gagea bohemica
Ranunculus acris
Moehringia
Brimeura amethystina
Pallenis maritima
Bunias erucago
Lemna minuta
Callitriche obtusangula
Taxus baccata
Bidens frondosa
Ceratostigma plumbaginoides
Cruciata
Armeria maritima
Dianthus graniticus
Homogyne
Populus
Frankenia hirsuta
Ranunculus tuberosus
Arenaria montana
Veronica polita
Legousia
Bonjeanea italica
Gazania
Oenanthe crocata
Linum campanulatum
Hypericum hircinum
Gentiana nivalis
Petrocoptis
Aster squamatus
Lens
Arctium tomentosum
Leontodon saxatilis
Anthriscus cerefolium
Bromus secalinus
Trifolium glomeratum
Anemone hortensis
Maclura pomifera
Allium scaberrimum
Allium commutatum
Ranunculus amplexicaulis
Cycas revoluta
Abies koreana
Reseda lutea
Echium italicum
Ophrys sphegodes
Cosmos sulphureus
Cakile
Cyperus longus
Eleocharis multicaulis
Cephalaria leucantha
Mentha longifolia
Cotoneaster integerrimus
Arenaria biflora
Onopordum acaulon
Armoracia
Veronica prostrata
Posidonia
Poa nemoralis
Silene conica
Tragopogon porrifolius
Euphorbia stricta
Piptatherum caerulescens
Carex pseudocyperus
Salix daphnoides
Dipcadi serotinum
Echinops ritrodes
Hyssopus
Helminthotheca echioides
Delphinium halteratum
Sium latifolium
Rhagadiolus
Lycopodiales
Asparagus acutifolius
Myricaceae
Aristolochia paucinervis
Thysselinum
Galium sylvaticum
Brachypodium sylvaticum
Tofieldia
Viola saxatilis
Jacobaea maritima
Phyteuma nigrum
Meliaceae
Galium rotundifolium
Erigeron
Amelanchier canadensis
Geranium lucidum
Lagurus ovatus
Persicaria
Christella dentata
Festuca filiformis
Aconitum variegatum
Cryptomeria
Phyteuma scorzonerifolium
Chondrilla
Galega officinalis
Buglossoides
Leontodon crispus
Athyriaceae
Aegilops neglecta
Geranium columbinum
Fragaria
Glaucium
Pedicularis pyrenaica
Potentilla indica
Amorpha
Tripodion
Cuscuta epithymum
Anogramma leptophylla
Sporobolus
Pulsatilla vulgaris
Gentianales
Arum italicum
Stachys glutinosa
Pittosporaceae
Epilobium roseum
Viola pyrenaica
Filipendula ulmaria
Saxifraga umbrosa
Mercurialis huetii
Jasminum fruticans
Euphorbia verrucosa
Seseli tortuosum
Ludwigia
Vaccaria hispanica
Bothriochloa ischaemum
Clinopodium grandiflorum
Phyteuma charmelii
Vicia peregrina
Pulmonaria obscura
Sonchus arvensis
Trinia glauca
Bidens tripartita
Dianthus armeria
Ranunculus platanifolius
Hylotelephium
Saxifraga cotyledon
Pyrus communis
Cyanus montanus
Pilosella lactucella
Euonymus latifolius
Cytisus villosus
Holosteum
Triticum
Catapodium rigidum
Linaria alpina
Bartsia alpina
Utricularia australis
Plumbago
Lycopodiella inundata
Robinia
Ophioglossum lusitanicum
Carex brizoides
Erica tetralix
Carduus acicularis
Apera spica-venti
Cytinaceae
Lonicera japonica
Myricaria
Physalis
Hieracium laevigatum
Epilobium collinum
Hypericum androsaemum
Viola arvensis
Prunus mahaleb
Scorzonera hispanica
Populus canadensis
Hypochaeris glabra
Koeleria macrantha
Dianthus pyrenaicus
Arctostaphylos uva-ursi
Cotoneaster coriaceus
Polygonatum odoratum
Achillea
Viscum
Melittis
Senecio sylvaticus
Asplenium marinum
Gymnocarpium robertianum
Vicia sepium
Sarracenia purpurea
Smilax
Oxalis acetosella
Crithmum
Polygaloides chamaebuxus
Buddleja davidii
Bryonia cretica
Amelanchier ovalis
Malus pumila
Ramonda
Allium atroviolaceum
Daucus
Asteriscus aquaticus
Crassula tillaea
Lysimachia
Coincya richeri
Stachys corsica
Celtis
Arctotheca calendula
Quercus rotundifolia
Trifolium squamosum
Lapsana communis
Heracleum sphondylium
Hippocrepis
Sisymbrella
Bupleurum fruticosum
Filago pygmaea
Gentianella
Ericaceae
Verbenaceae
Allium angulosum
Galatella sedifolia
Seseli longifolium
Verbena bonariensis
Ephedra distachya
Pseudofumaria
Armeria arenaria
Arabidopsis thaliana
Plantago
Physalis alkekengi
Soldanella alpina
Carex caryophyllea
Cerastium latifolium
Erigeron canadensis
Cardamine pratensis
Secale
Trifolium rubens
Athyrium alpestre
Ligularia sibirica
Epipactis atrorubens
Bothriochloa barbinodis
Linum strictum
Juncus arcticus
Drosera intermedia
Campanula cenisia
Vitis
Ceratocephala
Arctium minus
Christella
Allium ampeloprasum
Hordeum secalinum
Taxaceae
Trifolium badium
Carex sylvatica
Crataegus monogyna
Astragalus onobrychis
Glebionis segetum
Lentibulariaceae
Aster alpinus
Calendula arvensis
Allium ursinum
Helleborus viridis
Cynoglossum cheirifolium
Mesembryanthemum
Corydalis solida
Caltha
Doronicum grandiflorum
Helictotrichon marginatum
Buxus sempervirens
Tanacetum
Ceratophyllum demersum
Salicornia europaea
Ranunculus aconitifolius
Parnassia palustris
Polygalaceae
Scabiosa lucida
Primulaceae
Illecebrum verticillatum
Sequoiadendron giganteum
Oleaceae
Carex divulsa
Cochlearia
Cyperus fuscus
Rosa sempervirens
Liquidambar
Kalmia
Asperula hirta
Iberis
Crepis foetida
Myosotis scorpioides
Calepina
Hedera algeriensis
Asterolinon linum-stellatum
Cortaderia selloana
Fritillaria
Torilis leptophylla
Nicandra
Ornithogalum gussonei
Berteroa
Astragalus hypoglottis
Cardamine hirsuta
Myosoton aquaticum
Polypogon viridis
Thalictrum foetidum
Moneses uniflora
Potamogeton nodosus
Sagina procumbens
Scolymus
Acer
Sorbus aria
Zelkova carpinifolia
Anthemis cotula
Gagea pratensis
Raphanus
Caucalis
Frangula dodonei
Arthrocnemum
Pulicaria odora
Helianthemum nummularium
Caprifoliaceae
Puccinellia festuciformis
Phalaris canariensis
Galega
Rorippa
Ranunculus ficaria
Salvia
Lolium rigidum
Rorippa palustris
Brachypodium phoenicoides
Lathyrus niger
Lepidium
Pyrus
Sorbus intermedia
Aesculus
Styphnolobium
Rosa rubiginosa
Silybum marianum
Retama
Minuartia
Senecio erucifolius
Capparaceae
Hedysarum coronarium
Iris sibirica
Cistus albidus
Gladiolus italicus
Rubus geniculatus
Borago
Pseudognaphalium undulatum
Laburnum anagyroides
Arenaria controversa
Bryonia alba
Saussurea
Fumaria muralis
Echium
Fraxinus excelsior
Vicia benghalensis
Paronychia argentea
Pedicularis rosea
Briza minor
Melilotus officinalis
Campanula glomerata
Menyanthaceae
Laphangium
Dactylorhiza maculata
Fumana laevipes
Carex punctata
Cistus creticus
Ajuga chamaepitys
Cytisus malacitanus
Rubus armeniacus
Artemisia alba
Bupleurum stellatum
Cerastium alpinum
Ulex minor
Stachys byzantina
Lobularia maritima
Ranunculus repens
Dianthus barbatus
Helianthemum violaceum
Neottia ovata
Asclepias
Jasminum nudiflorum
Eragrostis pilosa
Hordeum vulgare
Centaurium
Viola cornuta
Najas
Myosurus
Coreopsis
Peucedanum
Sempervivum montanum
Polygonum
Alnus cordata
Hypericum hirsutum
Eleocharis ovata
Cephalanthera damasonium
Buddleja
Saxifraga moschata
Rhinanthus angustifolius
Chenopodium
Neottia nidus-avis
Cercis siliquastrum
Tristagma
Trisetum flavescens
Phaseolus
Euphrasia hirtella
Bromus hordeaceus
Rapistrum rugosum
Murbeckiella
Ephedrales
Serapias
Carex lachenalii
Stipa juncea
Asplenium trichomanes
Viola jordanii
Knautia arvensis
Hypochaeris maculata
Echium vulgare
Aucuba
Onobrychis viciifolia
Tyrimnus
Melittis melissophyllum
Ulmus
Hedysarum spinosissimum
Myosotis discolor
Frankeniaceae
Veronica sublobata
Sorbus chamaemespilus
Euphorbia cyparissias
Cirsium spinosissimum
Boraginaceae
Asplenium foreziense
Cactaceae
Eleocharis acicularis
Gentianopsis ciliata
Fritillaria pyrenaica
Lonicera pileata
Polygonatum
Lupinus polyphyllus
Iris unguicularis
Bellis perennis
Cypripedium calceolus
Vaccinium myrtillus
Cistus laurifolius
Selaginella
Carpobrotus edulis
Epipogium aphyllum
Agave americana
Plumbago auriculata
Androsace adfinis
Galium spurium
Descurainia
Genista sagittalis
Cistus monspeliensis
Sambucus
Abelmoschus moschatus
Epilobium montanum
Seseli
Euphorbia helioscopia
Kernera
Helminthotheca
Hibiscus moscheutos
Hypericum elodes
Thymelaea passerina
Galium verum
Epipactis microphylla
Vicia ervilia
Galium
Turgenia
Rosales
Eleocharis quinqueflora
Odontites luteus
Narcissus
Anthriscus sylvestris
Bombycilaena
Scorzoneroides
Selinum
Juniperus thurifera
Poa
Carlina corymbosa
Exaculum pusillum
Sarcocornia perennis
Cherleria laricifolia
Paris
Gazania rigens
Fuchsia
Bifora
Pilosella cymosa
Erigeron floribundus
Adenocarpus telonensis
Conium
Solanum nigrum
Genista
Passiflora caerulea
Hylotelephium anacampseros
Sorbus
Tofieldia calyculata
Ceratonia siliqua
Pteridaceae
Tamarix
Cerastium glomeratum
Genista cinerea
Plantago sempervirens
Centaurium tenuiflorum
Dittrichia graveolens
Juncus conglomeratus
Crassulaceae
Trifolium repens
Leersia
Cochlearia anglica
Eranthis
Vicia pyrenaica
Arum maculatum
Onopordum
Sisyrinchium
Isolepis
Zea
Stipa offneri
Peucedanum gallicum
Ajuga
Ambrosia artemisiifolia
Isatis
Polystichum setiferum
Allium narcissiflorum
Aristolochia rotunda
Aphanes
Juncaceae
Vincetoxicum hirundinaria
Lathyrus setifolius
Myrica gale
Lactuca alpina
Eleocharis uniglumis
Linum tenuifolium
Solanaceae
Ilex aquifolium
Actaea spicata
Hyparrhenia hirta
Trifolium cherleri
Plantago argentea
Centaurea decipiens
Calystegia sepium
Zygophyllaceae
Armeria girardii
Polycarpon
Ranunculus auricomus
Parthenocissus quinquefolia
Geum montanum
Ononis
Juncus bufonius
Cytinus
Ophioglossum vulgatum
Quercus suber
Leucojum vernum
Carex elata
Chenopodium album
Gentiana occidentalis
Typha latifolia
Sixalix
Salix foetida
Asparagaceae
Aeluropus
Poa palustris
Ranunculus peltatus
Festuca
Citrus trifoliata
Taxodium
Scrophularia auriculata
Equisetum telmateia
Sanguisorba
Valerianella discoidea
Lepidium didymum
Capsicum annuum
Centaurea calcitrapa
Neotinea ustulata
Rubus bertramii
Teesdalia coronopifolia
Biscutella
Carex rostrata
Pycreus
Geranium macrorrhizum
Potentilla micrantha
Onosma
Galium album
Lepidium virginicum
Robinia pseudoacacia
Platanaceae
Anthoxanthum
Piperales
Capparis
Carum carvi
Phyteuma spicatum
Humulus
Petrosedum rupestre
Cytisus spinosus
Asplenium adiantum-nigrum
Mantisalca
Serapias cordigera
Hieracium pictum
Rhodiola
Pseudofumaria lutea
Potentilla montana
Melica
Laportea
Allium scorodoprasum
Cynosurus
Hieracium umbellatum
Carex leporina
Genista hispanica
Cerinthe major
Gnaphalium norvegicum
Lomelosia stellata
Allium subhirsutum
Herniaria incana
Potentilla argentea
Potentilla hirta
Colchicum longifolium
Iris graminea
Anthyllis hermanniae
Corylus avellana
Pycreus flavescens
Trifolium suffocatum
Juniperus phoenicea
Hibiscus
Asphodelus cerasiferus
Plantago uniflora
Ranunculus parnassifolius
Gladiolus dubius
Micranthes stellaris
Thymus embergeri
Dysphania
Alkanna
Potentilla aurea
Lycium
Rosa corymbifera
Hordeum marinum
Rhododendron ferrugineum
Clematis vitalba
Yucca aloifolia
Leonurus
Cerinthe
Fumaria bastardii
Lepidium graminifolium
Triglochin maritima
Ricinus
Camphorosma
Platanus
Corydalis
Gentiana
Primula intricata
Melia azedarach
Papaver alpinum
Melica amethystina
Picris hieracioides
Rostraria cristata
Dactylis glomerata
Setaria helvola
Stellaria neglecta
Geum reptans
Anagallis tenella
Saxifraga continentalis
Calystegia soldanella
Vitales
Groenlandia densa
Arenaria purpurascens
Papaver cambricum
Doronicum
Carex digitata
Claytonia
Miscanthus sinensis
Trifolium striatum
Tolpis staticifolia
Narcissus dubius
Sedum caeruleum
Pilularia
Linaria simplex
Persicaria mitis
Ranunculus serpens
Actinidia chinensis
Carex pendula
Camelina
Glebionis coronaria
Staphylea
Trifolium arvense
Gnaphalium uliginosum
Pyrola minor
Sparganium
Euphorbia peplis
Pulicaria
Alchemilla plicatula
Rostraria
Limonium
Hyoscyamus albus
Abelmoschus
Elaeagnaceae
Pseudoturritis turrita
Phytolaccaceae
Fagus sylvatica
Symphyotrichum novi-belgii
Carex extensa
Schoenoplectus tabernaemontani
Trachelium caeruleum
Equisetaceae
Arabis caucasica
Medicago orbicularis
Prunus
Atriplex patula
Amaranthus
Narcissus bulbocodium
Abies pinsapo
Campanula rhomboidalis
Ballota
Bolboschoenus
Solanum villosum
Symphytum orientale
Euphorbia prostrata
Inula salicina
Thymelaea sanamunda
Asplenium
Trachycarpus fortunei
Cochlearia pyrenaica
Fumaria capreolata
Solidago virgaurea
Gentiana clusii
Honckenya peploides
Hibiscus rosa-sinensis
Ranunculus circinatus
Oxytropis neglecta
Galeopsis
Bidens bipinnata
Asplenium scolopendrium
Nerium oleander
Arabis scabra
Avena sativa
Ranunculus
Cystopteridaceae
Knautia integrifolia
Achillea ptarmica
Kerria
Medicago ciliaris
Cryptomeria japonica
Cerastium brachypetalum
Potentilla
Ornithogalum narbonense
Helictotrichon versicolor
Lamiaceae
Convolvulus lineatus
Anagyris
Achillea ageratum
Orobanche lutea
Eschscholzia
Scorzoneroides pyrenaica
Polypodiopsida
Polystichum lonchitis
Prospero
Corynephorus canescens
Menyanthes trifoliata
Asperula purpurea
Cotoneaster horizontalis
Sarracenia
Bupleurum
Asarina procumbens
Pyrola
Potamogeton berchtoldii
Cotoneaster tomentosus
Cicendia
Centaurea stoebe
Valeriana montana
Paulownia tomentosa
Cytinus ruber
Oxytropis helvetica
Daphne mezereum
Sibbaldia procumbens
Nyctaginaceae
Sedum sexangulare
Erodium
Caryophyllales
Medicago minima
Aethionema
Beta vulgaris
Androsace maxima
Thalictrum
Arenaria
Cucurbita pepo
Luronium
Polygala alpestris
Alopecurus
Juniperus
Scirpus
Santolina chamaecyparissus
Myagrum perfoliatum
Hieracium prenanthoides
Zelkova
Caltha palustris
Aspilia foliacea
Araucariaceae
Satureja montana
Trigonella
Tamaricaceae
Veratrum album
Samolus valerandi
Veronica scutellata
Polygala comosa
Convallaria
Atriplex prostrata
Astragalus
Argentina
Salvia verbenaca
Dipsacus fullonum
Doronicum pardalianches
Montia fontana
Epilobium alsinifolium
Alyssum alyssoides
Pinus sylvestris
Cneorum tricoccon
Silaum silaus
Spergularia media
Quercus pyrenaica
Sibthorpia europaea
Botrychium
Eritrichium nanum
Pittosporum
Egeria
Gladiolus
Lactuca viminea
Lamprocapnos
Petrorhagia prolifera
Cyperus flavescens
Stachys alopecuros
Blackstonia perfoliata
Cirsium
Arnica montana
Ephedra major
Galium palustre
Salvia officinalis
Gymnadenia austriaca
Tripleurospermum
Gentiana verna
Pinguicula alpina
Amaranthus hybridus
Viola lutea
Knautia
Orchis spitzelii
Lavandula angustifolia
Rubus vulgaris
Narcissus jonquilla
Papaver
Polygala rupestris
Nicotiana
Drosera rotundifolia
Helianthemum italicum
Hedysarum boutignyanum
Phagnalon saxatile
Hypecoum pendulum
Cynosurus echinatus
Adenostyles leucophylla
Albizia
Ephedraceae
Lomelosia
Caesalpinia gilliesii
Aethionema saxatile
Scrophularia peregrina
Polypodium interjectum
Rubus bracteatus
Biscutella cichoriifolia
Lathyrus latifolius
Cerastium fontanum
Aegilops lorentii
Eriobotrya
Pseudotsuga
Pteridium
Hornungia
Erodium acaule
Saxifraga exarata
Poterium verrucosum
Mercurialis perennis
Daphne gnidium
Brassica rapa
Kobresia myosuroides
Rhaponticum
Eriobotrya japonica
Bifora testiculata
Helictotrichon bromoides
Mercurialis
Ceratostigma
Euphorbia
Leucojum aestivum
Lathyrus
Liriodendron tulipifera
Podospermum laciniatum
Gnaphalium supinum
Aquilegia alpina
Lonicera pyrenaica
Scleranthus perennis
Sambucus nigra
Crepis biennis
Sarcocornia fruticosa
Meum
Potentilla pedata
Centranthus calcitrapa
Mentha suaveolens
Carduus personata
Cota
Alkanna tinctoria
Aethusa cynapium
Carex pairae
Vulpia membranacea
Trifolium medium
Sanicula europaea
Silene saxifraga
Anacamptis morio
Polycnemum
Petrosedum anopetalum
Thymus
Agrostis
Limonium pseudominutum
Orobanche alsatica
Arenaria grandiflora
Rhodiola rosea
Rubia peregrina
Cotoneaster franchetii
Helianthemum marifolium
Halimium lasianthum
Asphodelus macrocarpus
Malva neglecta
Anchusa arvensis
Pseudorchis albida
Poa angustifolia
Knautia dipsacifolia
Stachys
Viburnum rhytidophyllum
Milium effusum
Glandora
Origanum vulgare
Anagallis
Oreoherzogia pumila
Prenanthes
Angelica
Stellaria nemorum
Ceratocephala falcata
Saponaria officinalis
Potamogeton
Collomia grandiflora
Molinia
Cyperus eragrostis
Hypericum hyssopifolium
Ipomoea indica
Frangula
Adenostyles alliariae
Agrimonia procera
Liriodendron
Althaea officinalis
Arenaria ciliata
Sedum acre
Papaver rhoeas
Scabiosa cinerea
Briza media
Phalaris
Alliaria
Carex limosa
Anethum
Lupinus
Medicago sativa
Teucrium polium
Ranunculus paludosus
Carex pallescens
Ribes nigrum
Isoetaceae
Tilia platyphyllos
Linaria thymifolia
Egeria densa
Daphne
Gleditsia triacanthos
Valerianella coronata
Aegopodium podagraria
Alyssoides
Galeopsis pyrenaica
Cytisophyllum
Orchis mascula
Cerinthe minor
Lythrum portula
Lagarosiphon
Oxytropis amethystea
Metasequoia
Ophrys speculum
Galium obliquum
Linum bienne
Ginkgoopsida
Ophrys bertolonii
Pilosella
Narthecium
Romulea bulbocodium
Ziziphus
Salix viminalis
Petrosedum montanum
Trifolium dubium
Elaeagnus
Sorbus latifolia
Onagraceae
Setaria italica
Centranthus ruber
Acer saccharinum
Origanum majorana
Ulmus minor
Butomus
Euphorbia flavicoma
Senecio doronicum
Epipactis
Ligustrum lucidum
Gladiolus communis
Reynoutria japonica
Medicago disciformis
Malva multiflora
Arum
Boraginales
Armeria ruscinonensis
Acanthus mollis
Lobularia
Trichophorum
Petrocallis pyrenaica
Gymnadenia odoratissima
Symphyotrichum lanceolatum
Opuntia engelmannii
Helianthemum syriacum
Globularia repens
Crupina
Cirsium ferox
Carex pulicaris
Arabis planisiliqua
Dryas
Lycopodium clavatum
Bistorta vivipara
Echium creticum
Sagittaria sagittifolia
Azolla filiculoides
Rubus holerythros
Briza maxima
Euphorbia biumbellata
Silene dioica
Iberis amara
Trifolium lappaceum
Fatsia japonica
Juncus subnodulosus
Sedum alpestre
Senecio hercynicus
Medicago coronata
Limodorum abortivum
Saxifragaceae
Salicornia
Cuscuta
Glaucium flavum
Choisya ternata
Salviniaceae
Equisetum palustre
Silene flos-cuculi
Marrubium
Pisum sativum
Cirsium vulgare
Chaenomeles japonica
Arnica
Lathyrus heterophyllus
Aphyllanthes monspeliensis
Cardamine
Soleirolia soleirolii
Carex paniculata
Ornithogalum pyrenaicum
Cedrus deodara
Trifolium ochroleucon
Aquifoliales
Dipsacales
Holcus lanatus
Rubus laciniatus
Thymelaeaceae
Melica ciliata
Berula
Ludwigia palustris
Bupleurum petraeum
Psilotopsida
Verbesina montevidensis
Myosotis sylvatica
Poterium
Tolpis
Juncus alpinoarticulatus
Primula elatior
Rhus coriaria
